"","PdDistrict","X","Y","District"
"1","NORTHERN",-122.425891675136,37.7745985956747,"Western Addition"
"3","NORTHERN",-122.42436302145,37.8004143219856,"Russian Hill"
"4","NORTHERN",-122.426995326766,37.8008726327692,"Marina"
"5","PARK",-122.438737622757,37.7715411720578,"Haight Ashbury"
"6","INGLESIDE",-122.403252361212,37.713430704116,"Visitacion Valley"
"7","INGLESIDE",-122.423326976668,37.7251380403778,"Excelsior"
"8","BAYVIEW",-122.371274317441,37.7275640719518,"Bayview"
"9","RICHMOND",-122.508194031117,37.7766012606812,"Outer Richmond"
"10","CENTRAL",-122.419087676747,37.8078015516515,"North Beach"
"12","TARAVAL",-122.487983072777,37.7376666543327,"Parkside"
"13","TENDERLOIN",-122.412414263581,37.7830037964534,"Downtown/Civic Center"
"14","NORTHERN",-122.432914603494,37.7843533426568,"Western Addition"
"15","BAYVIEW",-122.397744427103,37.7299346936044,"Bayview"
"16","BAYVIEW",-122.383691503959,37.7431890419965,"Bayview"
"17","TENDERLOIN",-122.412597377187,37.7839320277273,"Downtown/Civic Center"
"18","INGLESIDE",-122.421681531572,37.7428222004845,"Bernal Heights"
"19","BAYVIEW",-122.386400869953,37.738983491072,"Bayview"
"20","TENDERLOIN",-122.412249767634,37.782556330202,"Downtown/Civic Center"
"21","INGLESIDE",-122.449389111284,37.7426688025766,"West of Twin Peaks"
"22","INGLESIDE",-122.420272135283,37.7473316298785,"Bernal Heights"
"25","NORTHERN",-122.436049203586,37.7998412228823,"Marina"
"26","TENDERLOIN",-122.410509258795,37.7860432222992,"Downtown/Civic Center"
"27","NORTHERN",-122.431017557027,37.7873880712241,"Western Addition"
"28","INGLESIDE",-122.423656342945,37.7325564882065,"Bernal Heights"
"29","TARAVAL",-122.475773497852,37.744919069591,"Parkside"
"30","TARAVAL",-122.49978712069,37.7485176034723,"Outer Sunset"
"31","NORTHERN",-122.431046366089,37.7830295716044,"Western Addition"
"32","MISSION",-122.435150099812,37.7617597243598,"Castro/Upper Market"
"33","NORTHERN",-122.432743822617,37.7838424505847,"Western Addition"
"34","NORTHERN",-122.431309540727,37.7858706272526,"Western Addition"
"36","SOUTHERN",-122.391845617192,37.778124778322,"South of Market"
"37","NORTHERN",-122.431830723792,37.7956417032576,"Pacific Heights"
"38","NORTHERN",-122.430551779801,37.7893227716214,"Pacific Heights"
"39","TARAVAL",-122.473182029558,37.7215647406201,"Lakeshore"
"40","INGLESIDE",-122.432446462853,37.7108326541075,"Crocker Amazon"
"41","SOUTHERN",-122.405294845215,37.7863072236365,"Financial District"
"42","SOUTHERN",-122.422127579529,37.7730330183515,"Downtown/Civic Center"
"43","TENDERLOIN",-122.406351834294,37.7860311576362,"Downtown/Civic Center"
"44","BAYVIEW",-122.399443658942,37.7301760161647,"Bayview"
"46","CENTRAL",-122.415212031352,37.788871449843,"Downtown/Civic Center"
"47","INGLESIDE",-122.423702325261,37.7352327878159,"Bernal Heights"
"48","TARAVAL",-122.471799827428,37.7656866988298,"Golden Gate Park"
"49","CENTRAL",-122.408597386677,37.789224205873,"Downtown/Civic Center"
"50","PARK",-122.44776112232,37.7698464875415,"Haight Ashbury"
"51","BAYVIEW",-122.398695589689,37.7547456011189,"Potrero Hill"
"53","SOUTHERN",-122.403284843106,37.787306416019,"Financial District"
"54","SOUTHERN",-122.397615567933,37.7773918242817,"South of Market"
"55","SOUTHERN",-122.420347208832,37.7717690722244,"South of Market"
"56","SOUTHERN",-122.399802145799,37.7880065324392,"Financial District"
"57","NORTHERN",-122.421395819115,37.7856843389472,"Western Addition"
"58","SOUTHERN",-122.411279189969,37.7715785765043,"South of Market"
"59","NORTHERN",-122.427991151911,37.7849531241612,"Western Addition"
"60","CENTRAL",-122.400719785797,37.7907124695865,"Financial District"
"62","CENTRAL",-122.41292895522,37.7896868265784,"Nob Hill"
"64","SOUTHERN",-122.395097774181,37.7940590485562,"Financial District"
"65","SOUTHERN",-122.411636621857,37.7717869350639,"South of Market"
"66","TARAVAL",-122.474899151688,37.7269905309861,"Lakeshore"
"67","TENDERLOIN",-122.416235852379,37.7849125738476,"Downtown/Civic Center"
"70","SOUTHERN",-122.395985970867,37.7788348205682,"South of Market"
"72","NORTHERN",-122.434121356001,37.7860330497327,"Western Addition"
"73","BAYVIEW",-122.397136217367,37.7228049825201,"Bayview"
"74","MISSION",-122.422572334213,37.7487740050495,"Mission"
"75","CENTRAL",-122.406958660602,37.789434763004,"Financial District"
"76","MISSION",-122.41967661615,37.7658510977435,"Mission"
"78","PARK",-122.442496487593,37.7604858807114,"Castro/Upper Market"
"79","SOUTHERN",-122.396411455534,37.779187614727,"South of Market"
"80","MISSION",-122.413591695561,37.7638222259421,"Mission"
"81","CENTRAL",-122.402042584193,37.7975048898339,"Financial District"
"82","NORTHERN",-122.4214269222,37.7946028272407,"Nob Hill"
"84","TENDERLOIN",-122.414263390372,37.7817569847968,"Downtown/Civic Center"
"85","INGLESIDE",-122.411504150729,37.7477859069595,"Bernal Heights"
"86","PARK",-122.436999907165,37.7791621676229,"Western Addition"
"87","RICHMOND",-122.513642064265,37.7784692199467,"Seacliff"
"88","BAYVIEW",-122.417937968348,37.726605136966,"Excelsior"
"90","CENTRAL",-122.405744762009,37.7914980828425,"Chinatown"
"91","NORTHERN",-122.420691386664,37.7814832523537,"Downtown/Civic Center"
"92","TENDERLOIN",-122.415088721046,37.7836719564372,"Downtown/Civic Center"
"93","TARAVAL",-122.466991112144,37.7397231592142,"West of Twin Peaks"
"94","CENTRAL",-122.417800615246,37.801268383944,"Russian Hill"
"95","CENTRAL",-122.420180001306,37.8047896506888,"Russian Hill"
"96","BAYVIEW",-122.404099929802,37.7288373396427,"Excelsior"
"97","MISSION",-122.415014685048,37.750836391744,"Mission"
"98","SOUTHERN",-122.40950430935,37.781526271747,"South of Market"
"99","BAYVIEW",-122.387571306252,37.7605499565144,"Potrero Hill"
"100","PARK",-122.435318423327,37.7641020287178,"Castro/Upper Market"
"101","PARK",-122.451360061171,37.7751741554658,"Haight Ashbury"
