"","PdDistrict","District"
"1","NORTHERN","Western Addition"
"3","NORTHERN","Russian Hill"
"4","NORTHERN","Marina"
"5","PARK","Haight Ashbury"
"6","INGLESIDE","Visitacion Valley"
"7","INGLESIDE","Excelsior"
"8","BAYVIEW","Bayview"
"9","RICHMOND","Outer Richmond"
"10","CENTRAL","North Beach"
"12","TARAVAL","Parkside"
"13","TENDERLOIN","Downtown/Civic Center"
"18","INGLESIDE","Bernal Heights"
"21","INGLESIDE","West of Twin Peaks"
"30","TARAVAL","Outer Sunset"
"32","MISSION","Castro/Upper Market"
"36","SOUTHERN","South of Market"
"37","NORTHERN","Pacific Heights"
"39","TARAVAL","Lakeshore"
"40","INGLESIDE","Crocker Amazon"
"41","SOUTHERN","Financial District"
"42","SOUTHERN","Downtown/Civic Center"
"46","CENTRAL","Downtown/Civic Center"
"48","TARAVAL","Golden Gate Park"
"51","BAYVIEW","Potrero Hill"
"60","CENTRAL","Financial District"
"62","CENTRAL","Nob Hill"
"74","MISSION","Mission"
"78","PARK","Castro/Upper Market"
"82","NORTHERN","Nob Hill"
"86","PARK","Western Addition"
"87","RICHMOND","Seacliff"
"88","BAYVIEW","Excelsior"
"90","CENTRAL","Chinatown"
"91","NORTHERN","Downtown/Civic Center"
"93","TARAVAL","West of Twin Peaks"
"94","CENTRAL","Russian Hill"
"113","RICHMOND","Golden Gate Park"
"136","INGLESIDE","Outer Mission"
"142","PARK","Inner Richmond"
"176","TENDERLOIN","South of Market"
"195","TENDERLOIN","Financial District"
"203","BAYVIEW","South of Market"
"241","TARAVAL","Inner Sunset"
"246","RICHMOND","Inner Richmond"
"257","INGLESIDE","Noe Valley"
"311","RICHMOND","Presidio Heights"
"334","TARAVAL","Ocean View"
"386","RICHMOND","Western Addition"
"391","NORTHERN","Castro/Upper Market"
"409","MISSION","Noe Valley"
"415","PARK","Twin Peaks"
"424","INGLESIDE","Glen Park"
"535","PARK","Golden Gate Park"
"569","TARAVAL","Outer Mission"
"761","PARK","Inner Sunset"
"766","INGLESIDE","Mission"
"846","MISSION","South of Market"
"855","PARK","West of Twin Peaks"
"1106","INGLESIDE","Ocean View"
"1124","SOUTHERN","Treasure Island/YBI"
"1146","BAYVIEW","Visitacion Valley"
"1498","SOUTHERN","Western Addition"
"1501","RICHMOND","Pacific Heights"
"1567","MISSION","Bernal Heights"
"2016","INGLESIDE","Potrero Hill"
"2078","SOUTHERN","Mission"
"2540","INGLESIDE","Diamond Heights"
"3621","PARK","Presidio Heights"
"4033","INGLESIDE","Twin Peaks"
"4045","TARAVAL","Mission"
"4429","BAYVIEW","Mission"
"5135","SOUTHERN","West of Twin Peaks"
"5364","NORTHERN","South of Market"
"5802","NORTHERN","Mission"
"6097","RICHMOND","Outer Sunset"
"6705","PARK","Bayview"
"7995","BAYVIEW","Bernal Heights"
"8938","MISSION","Twin Peaks"
"9832","SOUTHERN","North Beach"
"9872","RICHMOND","Treasure Island/YBI"
"11448","RICHMOND","Presidio"
"22710","BAYVIEW","Outer Richmond"
"27242","SOUTHERN","Potrero Hill"
"28901","MISSION","Diamond Heights"
"31016","NORTHERN","Presidio"
"31256","CENTRAL","Marina"
"31471","PARK","Downtown/Civic Center"
"31727","BAYVIEW","Inner Richmond"
"32637","RICHMOND","Haight Ashbury"
"38764","TARAVAL","Excelsior"
"38785","INGLESIDE","Bayview"
"40774","PARK","Diamond Heights"
"51522","TENDERLOIN","Western Addition"
"54137","PARK","Pacific Heights"
"66116","CENTRAL","Outer Mission"
"66858","INGLESIDE","Castro/Upper Market"
"81304","NORTHERN","North Beach"
"87287","TENDERLOIN","Chinatown"
"94372","CENTRAL","South of Market"
"107511","TENDERLOIN","Golden Gate Park"
"108452","PARK","Noe Valley"
"114574","BAYVIEW","Outer Sunset"
"114888","NORTHERN","Haight Ashbury"
"116968","SOUTHERN","Inner Richmond"
"132506","PARK","Outer Sunset"
"145080","SOUTHERN","Bayview"
"150394","BAYVIEW","Outer Mission"
"153400","CENTRAL","Western Addition"
"161838","BAYVIEW","Downtown/Civic Center"
"162860","TENDERLOIN","Bayview"
"173145","CENTRAL","Visitacion Valley"
"248047","BAYVIEW","Russian Hill"
"270285","BAYVIEW","Western Addition"
"300153","BAYVIEW","North Beach"
"330254","BAYVIEW","Haight Ashbury"
"373384","BAYVIEW","Financial District"
"374648","BAYVIEW","Noe Valley"
"374673","BAYVIEW","Nob Hill"
"396510","TENDERLOIN","Nob Hill"
"399435","BAYVIEW","Castro/Upper Market"
"404279","BAYVIEW","West of Twin Peaks"
"419044","NORTHERN","Inner Richmond"
"434508","CENTRAL","Presidio"
"451881","CENTRAL","Pacific Heights"
"452686","MISSION","Bayview"
"460709","BAYVIEW","Inner Sunset"
"509203","MISSION","Inner Sunset"
"518596","BAYVIEW","Presidio Heights"
"568608","PARK","South of Market"
"570490","BAYVIEW","Marina"
"571737","BAYVIEW","Golden Gate Park"
"633986","NORTHERN","Noe Valley"
"663985","MISSION","Potrero Hill"
"676736","MISSION","West of Twin Peaks"
"683058","BAYVIEW","Pacific Heights"
"685520","BAYVIEW","Chinatown"
"686159","BAYVIEW","Ocean View"
"755470","SOUTHERN","Castro/Upper Market"
"759413","RICHMOND","South of Market"
"782811","MISSION","Western Addition"
"815740","CENTRAL","Presidio Heights"
"817799","NORTHERN","Outer Sunset"
"834368","RICHMOND","Inner Sunset"
"846548","RICHMOND","Potrero Hill"
"846987","MISSION","Outer Mission"
"857571","SOUTHERN","Excelsior"
"858045","BAYVIEW","Parkside"
"863606","SOUTHERN","Outer Mission"
"869640","MISSION","Excelsior"
